"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","log2FoldChange","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.436893203883495","9.597312495656297E-4","0.29096045197740117","0.6666666666666666","3","7","false","1.10801397589659","MCEMP1","8.333333333333334","0","3","0","0.9213905418102099","true","0","MCEMP1","44","0.43859649122807015"
"3.6116504854368934","0.0","0.2768817204301075","1.0","2","7","false","1.02025222503628","CLEC4D","8.0","0","2","0","0.915753210147197","true","0","CLEC4D","0","0.6153846153846154"
"2.9223300970873787","0.0019919117482414647","0.34219269102990035","0.4666666666666667","6","6","false","-1.20741572431229","CHGB","14.0","0","6","0","0.9379893517068587","true","0","CHGB","102","0.44623655913978494"
"2.7864077669902914","0.019660503212759067","0.3588850174216028","0.5714285714285714","8","6","false","1.27645091809895","SLAMF1","13.5","0","8","0","0.9423739430003132","true","0","SLAMF1","808","0.3821428571428571"
"2.679611650485437","0.06443183522869915","0.37318840579710144","0.16666666666666666","9","5","false","1.131509799244","MS4A1","8.88888888888889","0","9","0","0.9458189790165988","true","0","MS4A1","2588","0.22507122507122507"
"3.1650485436893203","5.581074823020601E-4","0.3159509202453988","0.8","5","6","false","-1.06068408718043","STAT4","15.0","0","5","0","0.9301597243971187","true","0","STAT4","52","0.5172413793103449"
"2.4854368932038833","0.03687056082165364","0.40234375000000006","0.42483660130718953","18","6","false","1.08464148845522","IL7R","13.222222222222221","0","18","0","0.9520826808643909","true","0","IL7R","2434","0.24947589098532494"
"2.6310679611650487","0.03797431176998228","0.38007380073800734","0.38461538461538464","13","6","false","1.06615755542445","S100A12","12.0","0","13","0","0.9473849044785468","true","0","S100A12","1904","0.2608695652173913"
"2.5533980582524274","0.013750128522215133","0.3916349809885931","0.638095238095238","15","6","false","1.40546813343617","CD40LG","16.0","0","15","0","0.9498903852176637","true","0","CD40LG","890","0.32"
"2.679611650485437","0.02038047973114634","0.37318840579710144","0.5833333333333334","9","6","false","1.2130776329964","IL1R2","16.555555555555557","0","9","0","0.9458189790165988","true","0","IL1R2","848","0.3654320987654321"
